"","gen.name2","name3","rate.0.5","density","temp.niche.low","temp.niche.high","temp.niche.width","temp.max.rate","temp.temp.at.max.rate","water.niche.low","water.high","water.niche.width","water.max.r","water.mpa.at.max.r","bg","cbh","phos","nag","lap","abts","perox","phenox","net.perox","bg.w","cbh.w","phos.w","nag.w","lap.w","abts.w","perox.w","phenox.w","net.perox.w","ranking","X1","X2","X4","X6","X7","X8","X9","X10","X11","X12","X14","X16","X18","X20","X21","X23","X24","X25","X26","X27","X28","X29","X30","X35","X36","X37","X39","X40","X41","X42","X43","X44","X45","X47","X48","X51","X54","X55","X56","X57","X58","X60","X62","X63","X65","X","X67","X68","X70","X71","X72","X73","X74","X75","X.1","X78","X79","X81","X84","X85","X86","X87","X89","X91","X92","X93","X97","X99","X101","X102","X103"
"1","Armillaria_gallica_FP102531_C6D","a.gal1.s",0.25,0.1,6.4,31.1,24.7,0.415004296,25,0.45,3.46,3.01,0.389915068,-0.89,2.9,1.2,44.1,45.6,1e-04,3.845,0.056,0.0325,0.061,4.2,1.7,20.4,13,0.4,4.798,0.087,0.025,0.061,0.232495277487639,0,20573.6,64543.2,6437.2,11829.8,4780.2,1630.6,698,42636.8,6292.2,11226,6294,9634501.6,25983,167940.8,249893.4,230322.4,21550,23387.2,1303315.2,55115,1167,19716,27724.4,34725,47674,90141.6,53073.6,38680,159483.6,926.2,380072.8,45841,0,18574,10571.8,19030.2,2343.8,7210,0,26065.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Armillaria_gallica_EL8_A6F","a.gal10.n",0.35,1.02,19.2,32.5,13.3,0.733935094,29.8,0.47,2.55,2.08,0.568402044,-0.78,2.3,1.9,36.5,22.1,1e-04,2.087,0.045,0.14,0.12,8,1.3,52.7,36.1,0.1,2.422,0.045,0.14,0,0.164398987305357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Armillaria_gallica_FP102534_A5A","a.gal2.s",0.21,0.16,6,30.4,24.4,0.338826951,25.1,0.47,4.18,3.71,0.361211721,-0.92,3.2,1.1,58.6,26.5,1e-04,3.34,0.033,0.03,0.042,6.2,1.5,92.4,35,0.4,3.34,0.033,0.03,0.002,0.232495277487639,0,13904.6,85617.2,4211.2,0,1892.2,3473.6,899,120056.8,0,6376,14455,8807386.6,32781,125039.8,161443.4,215179.4,19781,0,1300811.2,41242,1226,17906,25813.4,26350,47183,59699.6,78636.6,31818,168805.6,0,361444.8,61521,0,22145,13384.8,9384.2,627.8,5617,133,37039.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,572,0,0,0,0,0,0,0,0,0,0,0,0,846.4,0
"4","Armillaria_gallica_FP102535_A5D","a.gal3.s",0.25,0.5,6.6,30.9,24.3,0.298070112,25.8,0.34,4.64,4.3,0.294313062,-0.85,1.9,1.4,48.6,26.4,1e-04,0.97,0.025,0.003,0.0575,7.9,1.8,29.5,26.1,0.3,0.97,0.025,0.003,0.022,0.232495277487639,0,10134.6,132288.2,349.2,0,1568.2,1774.6,548,21934.8,12350.2,4212,4689,7946125.6,25890,107267.8,166160.4,190105.4,15372,20845.2,1096985.2,41457,338,13270,28805.4,34321,34904,0,68889.6,23122,196752.6,0,324311.8,35941,0,0,8468.8,11760.2,585.8,5186,892,31773.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Armillaria_gallica_FP102542_A5B","a.gal5.s",0.25,0.65,11.3,29.5,18.2,0.390822629,23.9,0.52,3.09,2.57,0.555147542,-0.9,2.6,2,13,11.8,0.1,0.9015,0.0585,0.057,0.049,3.7,1.8,36.4,12.3,0.4,1.608,0.077,0.057,0.019,0.367607311046904,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12934,30905,10476593.6,19934,169912.8,194275.4,254279.4,22023,4657.2,1581348.2,51060,1992,31247,33334.4,0,67386,182576.6,57863.6,37143,206514.6,0,390185.8,38225,0,27052,13449.8,16460.2,213.8,8035,420,82442.4,0,0,0,0,0,0,0,0,0,0,2767,0,2237,0,546,281,0,0,0,0,0,0,0,0,0,0,0,0,0,11833.6
"6","Armillaria_gallica_HHB12551_C6C","a.gal6.n",0.49,0.91,15,31.2,16.2,0.549312702,25.7,0.19,4.34,4.15,0.352634059,-0.68,0.6,1.1,4.7,1.7,0.1,1e-04,0.065,0.099,0.0695,2.2,1.9,17.4,5,0.2,0,0.11,0.099,0.011,0,0,11035.6,112023.2,1186.2,0,390.2,913.6,424,9804.8,9023.2,14610,10746,10126912.6,32192,192177.8,256389.4,290337.4,26376,17094.2,1373067.2,70238,1635,20128,41169.4,46118,53096,95244.6,60470.6,40181,298197.6,0,497289.8,47957,0,46259,14897.8,15510.2,1603.8,19647,543,57172.4,0,0,0,0,0,0,0,0,6171,0,259,0,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987.6
"7","Armillaria_gallica_OC1_A6E","a.gal8.n",0.25,0.55,17.6,33,15.4,0.625649586,29.9,0.49,2.85,2.36,0.459362594,-0.84,3.9,1,60.7,87,0.1,2.702,0.066,0.028,0.048,15.4,2.9,128.7,127.5,0.4,2.702,0.066,0.028,0.038,0.164398987305357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Armillaria_gallica_SH1_A4A","a.gal9.n",0.76,0.61,20.1,29.4,9.3,0.958909243,26.2,0.17,2.21,2.04,0.688112713,-0.41,3.3,1.8,44.6,67.9,0.5,5.481,0.0355,0.048,0.0405,10.7,2.7,133.7,180.2,0.3,5.481,0.061,0.048,0.014,0.402693633128415,0,13516.6,81463.2,2069.2,0,1124.2,2153.6,569,21054.8,0,4793,2223,8034288.6,26940,101413.8,132545.4,189149.4,15129,7970.2,1150602.2,39784,1281,17935,22243.4,24845,33241,96007.6,71576.6,0,12924.6,25585.2,335009.8,29834,0,10432,8297.8,17610.2,0,3390,859,30586.4,0,0,0,380,0,0,0,1626,750,1701,481,877,415,0,693,0,0,23094,3579,0,12024,0,0,0,7002,0,0,2558,12731.4,0
"9","Armillaria_sinapina_PR9","a.sin.n",0.77,0.12,13.7,29.7,16,0.962419875,26.4,0.15,1.89,1.74,0.738989284,-0.36,2.3,1.8,9.1,12.9,1e-04,1e-04,0.1455,0.886,0.395,8.3,1.5,17,41.6,0.1,0,0.011,0.886,0,0.367607311046904,0,12125.6,94359.2,0,0,0,4440.6,0,8078.8,66728.2,6920,25868,8244955.6,23833,106890.8,119129.4,179879.4,14737,10978.2,1112801.2,42429,600,15218,22844.4,22923,34205,41938.6,62608.6,24442,208141.6,0,304791.8,20569,0,15087,6992.8,3993.2,0,3097,0,36246.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.4,0
"10","Armillaria_tabescens_FP102622_A3C","a.tab.n",0.5,0.07,15.1,33.3,18.2,1.123551612,27.6,0.22,3.65,3.43,0.445579967,-0.62,12.6,3.7,17.2,22.2,0.5,11.763,0.122,1.84,0.185,58.1,9.8,82.3,128.2,0.2,11.763,0.122,1.84,0,0.367607311046904,0,6384.6,70553.2,4666.2,0,860.2,2617.6,635,15724.8,0,8615,56363,8325507.6,33585,115963.8,139364.4,231756.4,19973,1475.2,1355271.2,48305,1460,20054,32018.4,33877,44045,146227.6,80001.6,34177,238546.6,0,465812.8,78798,0,9789,18558.8,12407.2,0,6027,352,39520.4,0,0,0,0,0,0,0,0,0,0,488,280,752,0,1819,389,0,3722,0,0,1236,0,0,0,676,0,0,0,0,4047.6
"11","Armillaria_tabescens_TJV93_261_A1E","a.tab.s",1.07,0.63,16.3,32.1,15.8,1.612728672,24.7,0.11,1.43,1.32,1.01992071,-0.27,6.8,2.2,8.9,9.6,0.2,17.004,0.631,1.625,1.369,28.3,2.7,33.9,29.9,-0.1,17.004,0.138,1.625,0,0,0,24796.6,0,0,0,500.2,2170.6,154,6504.8,73119.2,0,4768,13788.6,0,3122.8,4814.4,1061.4,0,5535.2,4505.2,7490,0,0,10059.4,0,0,3697.6,0,0,4829.6,0,226.8,0,0,761,295.8,459.2,0,15,0,9731.4,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454.6
"12","Fomes_fomentarius_TJV93_7_A3E","f.fom.n",4.71,0.002375,20.8,30.1,9.3,7.549717386,27.3,0.1,1.29,1.19,4.777815358,-0.24,1.8,1.6,15.7,8.4,0.1,40.244,0.377,1.056,0.136,2.6,1.9,29.4,20.8,0,40.244,0.377,1.056,0,0.28474739872575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Hyphodontia_crustosa_HHB13392_B7B","h.crust.n",1.96,0.12,7.1,30.3,23.2,1.694426313,25.6,0.09,1.28,1.19,1.91152886,-0.23,1.5,1.9,8.3,4.2,0.4,5.429,0.019,0.103,0.026,2.4,1.4,25,10.9,-0.1,5.429,0.019,0.103,0,0.569494797451499,0,59962.6,10481.2,0,19141.8,1682.2,1287.6,387,243713.8,31246.2,5910,475,4902035.6,15298,83905.8,140092.4,147691.4,12849,2794.2,782351.2,35339,977,13094,20689.4,22339,29928,57984.6,43358.6,21164,130108.6,0,271767.8,15554,0,1960,5990.8,11420.2,0,3184,0,21781.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Hyphoderma_setigerum_HHB12156_B3H","h.seti.n",4.11,0.09,16.9,29.4,12.5,8.024240476,26.8,0.12,1.31,1.19,4.726253434,-0.26,5.7,0.6,6.3,9.3,0.3,28.949,0.236,0.179,0.057,2.7,0.9,38.7,3.5,0.6,27.752,0.236,0.313,0,0.753370803500884,0,17342.6,41876.2,294.2,0,0,1335.6,395,4166.8,0,0,1069,377925.6,0,13819.8,0,8799.4,296,0,1102463.2,33581,0,12765,15989.4,22754,17915,23681.6,0,25943,195224.6,0,314093.8,35741,0,9212,0,0,5387.8,12203,28935,1369.4,0,121.2,0,989,0,245,0,0,0,0,452,3562,0,0,0,3460,5503,5304,0,3175,3739,0,0,333482,10550,0,184620.8,4108,957.4,2317.6
"15","Hyphoderma_setigerum_FP150263_B2C","h.seti.s",4.7,0.03,19,28.7,9.7,6.358749717,26.7,0.36,1.74,1.38,4.805031058,-0.56,3.1,1.2,3.8,2.9,0.2,27.749,0.184,0.805,1e-04,1.5,1,8,1.5,0.2,23.605,0.184,0.219,0,0.569494797451499,NA,NA,NA,NA,80220.8,2730.2,1119.6,10379,324701.8,8860.2,0,7850,10464958.6,31785,191158.8,276092.4,292267.4,25066,42672.2,1590606.2,62348,1994,26842,38421.4,53852,55232,99042.6,67474.6,46990,277246.6,0,477023.8,37606,0,25803,11897.8,0,1227.8,8366,464,45803.4,0,0,0,0,0,0,0,0,787,0,96,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,530.4,0
"16","Laetiporus_caribensis_GDL1_A1A","l.carib.s",3.77,0.1,17.4,30.1,12.7,6.152065072,27.5,0.43,2.28,1.85,4.473590171,-0.65,5.6,3,2.3,22.6,0.3,31.741,1e-04,0.5185,1e-04,5.6,4.3,10.7,33.6,0,0,0,0.02,0,0.519875244910036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Laetiporus_conifericola_HHB15411_C8B","l.conif.n",5.16,0.04,17.5,29.6,12.1,7.722733051,27.1,0.3,1.52,1.22,5.233270444,-0.56,2.6,1.3,46.6,12.6,1.5,32.311,0.007,0.866,1e-04,1.8,1.7,32.3,9.5,0.2,0,0.007,0.67,0,0.28474739872575,0,1777.6,0,1739.2,12026.8,6168.2,1558.6,1187,111953.8,21795.2,4396,43762,8817644.6,22491,130393.8,144216.4,209266.4,16797,0,1131068.2,42050,1136,17590,21893.4,26664,34732,195350.6,0,24747,201968.6,0,293451.8,17399,0,1238,4431.8,2346.2,0,1957,274,20775.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.4,3373.6
